T: Gene names,LFQ intensity BZ1,LFQ intensity BZ10,LFQ intensity BZ11,LFQ intensity BZ12,LFQ intensity BZ13,LFQ intensity BZ14,LFQ intensity BZ15,LFQ intensity BZ16,LFQ intensity BZ17,LFQ intensity BZ18,LFQ intensity BZ19,LFQ intensity BZ2,LFQ intensity BZ20,LFQ intensity BZ21,LFQ intensity BZ22,LFQ intensity BZ23,LFQ intensity BZ24,LFQ intensity BZ25,LFQ intensity BZ26,LFQ intensity BZ27,LFQ intensity BZ28,LFQ intensity BZ29,LFQ intensity BZ3,LFQ intensity BZ30,LFQ intensity BZ31,LFQ intensity BZ32,LFQ intensity BZ33,LFQ intensity BZ34,LFQ intensity BZ35,LFQ intensity BZ36,LFQ intensity BZ37,LFQ intensity BZ38,LFQ intensity BZ39,LFQ intensity BZ4,LFQ intensity BZ40,LFQ intensity BZ41,LFQ intensity BZ42,LFQ intensity BZ43,LFQ intensity BZ44,LFQ intensity BZ45,LFQ intensity BZ46,LFQ intensity BZ47,LFQ intensity BZ48,LFQ intensity BZ49,LFQ intensity BZ5,LFQ intensity BZ50,LFQ intensity BZ51,LFQ intensity BZ52,LFQ intensity BZ53,LFQ intensity BZ54,LFQ intensity BZ55,LFQ intensity BZ56,LFQ intensity BZ57,LFQ intensity BZ58,LFQ intensity BZ59,LFQ intensity BZ6,LFQ intensity BZ60,LFQ intensity BZ7,LFQ intensity BZ8,LFQ intensity BZ9
KPNA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDCBP,0,0,0,0,0,0,0,0,0,0,0,0,9837500,19324000,18723000,22226000,15900000,23446000,32922000,29246000,29895000,16065000,2227000,12107000,10264000,7406800,7959700,0,0,9877000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDX3X;DDX3Y,0,0,0,1539200,8692100,10547000,4227700,2327200,0,1601500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2542900,0,0,0,0,0,0,0,0,0,0,1077100,0,1013500,0,0
PEX12,0,0,0,0,0,0,0,2442300,3417800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPNA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NME4,0,6031100,3604000,3477100,0,2954400,0,0,0,2324300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6388800,2260700,10711000,12207000,0,0,0,0,0,0,0,0,11264000,0,18337000,10145000,7096300
CES2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2161700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAN2B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3217700,0,0,0,5073700,0,6242300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDXK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13724000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPAP2A,0,0,0,0,0,0,0,0,0,24541000,39261000,0,35714000,31382000,14472000,8521200,6469200,4726600,3655200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPAP2B,0,0,0,0,0,0,0,0,3234600,23546000,26697000,0,96640000,199970000,276870000,197090000,107240000,99654000,47713000,55812000,34998000,26246000,0,34902000,31612000,28511000,20015000,16659000,9646200,7998700,7607400,8748600,0,0,0,4651000,3915300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDHD,0,0,0,0,8212000,15219000,21514000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1674600
